id,keyword
K00000,functional
K00001,modeling
K00002,and
K00003,reasoning
K00004,design
K00005,knowledge
K00006,sharing
K00007,ontology
K00008,building
K00009,ontologies
K00010,role
K00011,relationship
K00012,development
K00013,support
K00014,system
K00015,plant
K00016,methodology
K00017,context
K00018,オントロジー
K00019,オントロジー構築
K00020,概念化
K00021,オントロジー利用
K00022,conceptualization
K00023,applications
K00024,of
K00025,地籍情報
K00026,Linked
K00027,Open
K00028,Data
K00029,知識の体系化
K00030,セマンティックウェブ
K00031,cadastral
K00032,information
K00033,systematization
K00034,semantic
K00035,web
K00036,ナノテク材料
K00037,機能
K00038,製造プロセス
K00039,知識記述
K00040,オントロジー工学
K00041,Nano-Material
K00042,Function
K00043,Manufacturing
K00044,Process
K00045,Knowledge
K00046,Description
K00047,Ontological
K00048,Engineering
K00049,ロール概念
K00050,関係概念
K00051,構築環境
K00052,tool
K00053,インスタンス
K00054,ロール
K00055,instance
K00056,utilization
K00057,ontology-based
K00058,application
K00059,情報リテラシー
K00060,情報通信技術教育
K00061,内容分析
K00062,オンライン対話能力
K00063,情報リテラシー教育
K00064,情報モラル教育
K00065,情報教育
K00066,台湾
K00067,情報
K00068,共起ネットワーク図
K00069,高等学校教科書
K00070,用語分析
K00071,SNS
K00072,Facebook
K00073,情報モラル
K00074,教育支援
K00075,ビジュアルプログラミング
K00076,Webベース
K00077,フローデータ
K00078,ストックデータ
K00079,情報分析
K00080,問題解決
K00081,情報システム
K00082,情報通信技術
K00083,暗号通信
K00084,情報機器の操作
K00085,is-a階層
K00086,is-a
K00087,hierarchy
K00088,viewpoint
K00089,dynamic
K00090,generation
K00091,nano-material
K00092,quality-attribute-property
K00093,theory
K00094,nano-materials
K00095,engineering
K00096,multiple
K00097,inheritance
K00098,practical
K00099,disease
K00100,causal
K00101,chainviewpoint
K00102,linked
K00103,data
K00104,バイオミメティクス
K00105,シソーラス
K00106,オントロジー強化型シソーラス
K00107,生物データベース
K00108,biomimetics
K00109,thesaurus
K00110,Ontology-Enhanced
K00111,Thesaurus
K00112,biological
K00113,database
K00114,abnormal
K00115,state
K00116,integration
K00117,keyword
K00118,exploration
K00119,retrieval
K00120,異常状態
K00121,疾患
K00122,Ontology
K00123,Abnormal
K00124,states
K00125,Diseases
K00126,セマンティックWeb
K00127,単語ベクトル
K00128,科学計量学
K00129,書誌計量学
K00130,RDF
K00131,scientometrics
K00132,bibliometrics
K00133,refinement
K00134,consistency
K00135,referring
K00136,relation
K00137,similarity
K00138,LOD（Linked
K00139,Data）
K00140,オープンデータ
K00141,ハッカソン
K00142,コミュニティ活動
K00143,LOD
K00144,%28Linked
K00145,Data%29
K00146,Hackathon
K00147,Community
K00148,Activities
K00149,classification
K00150,comparison
K00151,supporting
K00152,chains
K00153,construction
K00154,pieces
K00155,domain
K00156,sustainability
K00157,science
K00158,environmental
K00159,studies
K00160,part-of
K00161,part
K00162,structure
K00163,ナレッジグラフ
K00164,説明可能性
K00165,推論
K00166,機械学習
K00167,Graph
K00168,Explainablity
K00169,Reasoning
K00170,Machine
K00171,Learning
K00172,知識グラフ
K00173,Semantic
K00174,Web
K00175,リンクトオープンデータ
K00176,Explainability
K00177,リンクトデータ
K00178,SPARQL
K00179,データ統合
K00180,統合クエリ
K00181,%28LOD%29
K00182,Integration
K00183,Federated
K00184,Query
K00185,medical
K00186,informatics
K00187,medicine
K00188,clinical
K00189,graph
K00190,open
K00191,machine
K00192,learning
K00193,representation
K00194,artificial
K00195,intelligence
K00196,in
K00197,decision
K00198,hospital
K00199,management
K00200,コンピュータと人間社会
K00201,データとウェブ
K00202,人工知能と認知科学
K00203,%28Resource
K00204,Framework%29
K00205,literacy
K00206,education
K00207,教育
K00208,特集
