subj-004,72,turnPale,when,when-016,Prop
subj-004,73,beDizzy,when,when-016,Prop
subj-008,91,have,what,what-023,Prop
subj-030,93,lock,when,when-016,Prop
subj-082,96,close,when,when-026,Prop
subj-077,114,repair,when,when-031,Prop
subj-054,144,1100_GBP,when,when-018,Prop
subj-054,145,750_GBP,when,when-027,Prop
subj-008,165,live,wher,subj-056,Prop
subj-058,216,beTied,wher,subj-072,Prop
subj-065,245,filledWith,what,subj-048,Prop
subj-044,249,subClassOf,what,subj-019,Prop
subj-014,284,fixed,wher,subj-016,Prop
subj-014,284,fixed,to,subj-034,Prop
subj-014,285,notFixed,wher,subj-015,Prop
subj-014,285,notFixed,to,to-014,Prop
subj-066,311,burned,what,what-069,Prop
subj-058,373,beFake,when,when-017,Prop
subj-014,374,beFixed,when,when-017,Prop
subj-014,374,beFixed,to,to-013,Prop
subj-023,378,notFind,what,subj-053,Prop
subj-023,378,notFind,when,when-017,Prop
subj-067,397,getAngry,when,when-017,Prop
