Pred-001,accept,hasPredicate
Pred-002,beDivided,hasPredicate
Pred-003,beScared,hasPredicate
Pred-004,beTremble,hasPredicate
Pred-005,beUpset,hasPredicate
Pred-006,bite,hasPredicate
Pred-007,bridge,hasPredicate
Pred-008,buy,hasPredicate
Pred-009,calculate,hasPredicate
Pred-010,call,hasPredicate
Pred-011,callBak,hasPredicate
Pred-012,canSee,hasPredicate
Pred-013,cannotFind,hasPredicate
Pred-014,cannotGo,hasPredicate
Pred-015,cannotMove,hasPredicate
Pred-016,cannotOpen,hasPredicate
Pred-017,cannotTalk,hasPredicate
Pred-018,change,hasPredicate
Pred-019,come,hasPredicate
Pred-020,die,hasPredicate
Pred-021,disappear,hasPredicate
Pred-022,end,hasPredicate
Pred-023,engage,hasPredicate
Pred-024,equalTo,hasPredicate
Pred-025,escape,hasPredicate
Pred-026,exist,hasPredicate
Pred-027,exit,hasPredicate
Pred-028,expect,hasPredicate
Pred-029,face,hasPredicate
Pred-030,fallDown,hasPredicate
Pred-031,fight,hasPredicate
Pred-032,find,hasPredicate
Pred-033,fire,hasPredicate
Pred-034,getAngry,hasPredicate
Pred-035,getMarried,hasPredicate
Pred-036,give,hasPredicate
Pred-037,go,hasPredicate
Pred-038,goDown,hasPredicate
Pred-039,goUp,hasPredicate
Pred-040,have,hasPredicate
Pred-041,hear,hasPredicate
Pred-042,hit,hasPredicate
Pred-043,include,hasPredicate
Pred-044,investigate,hasPredicate
Pred-045,jumpUp,hasPredicate
Pred-046,know,hasPredicate
Pred-047,like,hasPredicate
Pred-048,listen,hasPredicate
Pred-049,live,hasPredicate
Pred-050,lock,hasPredicate
Pred-051,lose,hasPredicate
Pred-052,meet,hasPredicate
Pred-053,notAnswer,hasPredicate
Pred-054,notCome,hasPredicate
Pred-055,notExist,hasPredicate
Pred-056,notFind,hasPredicate
Pred-057,notGo,hasPredicate
Pred-058,notHave,hasPredicate
Pred-059,notHear,hasPredicate
Pred-060,notOppose,hasPredicate
Pred-061,notSatisfied,hasPredicate
Pred-062,notSee,hasPredicate
Pred-063,notSleep,hasPredicate
Pred-064,notWork,hasPredicate
Pred-065,not_Lock,hasPredicate
Pred-066,obtain,hasPredicate
Pred-067,open,hasPredicate
Pred-068,pay,hasPredicate
Pred-069,point,hasPredicate
Pred-070,prepare,hasPredicate
Pred-071,propose,hasPredicate
Pred-072,pull,hasPredicate
Pred-073,put,hasPredicate
Pred-074,query,hasPredicate
Pred-075,reach,hasPredicate
Pred-076,return,hasPredicate
Pred-077,say,hasPredicate
Pred-078,see,hasPredicate
Pred-079,send,hasPredicate
Pred-080,sit,hasPredicate
Pred-081,sleep,hasPredicate
Pred-082,smell,hasPredicate
Pred-083,standUp,hasPredicate
Pred-084,stay,hasPredicate
Pred-085,stop,hasPredicate
Pred-086,support,hasPredicate
Pred-087,suspect,hasPredicate
Pred-088,take,hasPredicate
Pred-089,talk,hasPredicate
Pred-090,testified,hasPredicate
Pred-091,tighten,hasPredicate
Pred-092,trace,hasPredicate
Pred-093,train,hasPredicate
Pred-094,turnOff,hasPredicate
Pred-095,turnOn,hasPredicate
Pred-096,wakeUp,hasPredicate
Pred-097,warn,hasPredicate
Pred-098,work,hasPredicate
Pred-099,blank-field,hasPredicate
