what-001,1000_GBP,what
what-002,112,what
what-003,132,what
what-004,138,what
what-005,245,what
what-006,250_GBP,what
what-007,311,what
what-008,318,what
what-009,319,what
what-010,324,what
what-011,330,what
what-012,93,what
what-013,Helen,what
what-014,Holmes,what
what-015,Indian_cigarettes,what
what-016,Julia,what
what-017,Roylott,what
what-018,Watson,what
what-019,animal_of_India,what
what-020,awareness,what
what-021,baboon,what
what-022,back_part_of_chair,what
what-023,bad_act,what
what-024,band,what
what-025,bed,what
what-026,bedroom_of_Julia,what
what-027,bedroom_of_Roylott,what
what-028,best_result,what
what-029,bolt,what
what-030,bookshelf,what
what-031,brandy,what
what-032,bruise_of_fingers_of_Roylott,what
what-033,building,what
what-034,burned_match,what
what-035,candle,what
what-036,cane,what
what-037,cat,what
what-038,ceiling,what
what-039,chair,what
what-040,church_bell,what
what-041,clothes,what
what-042,coach,what
what-043,cry,what
what-044,decorative_wear,what
what-045,dog_whip,what
what-046,dog_whip_of_Roylott,what
what-047,engagement_of_Julia,what
what-048,eyes,what
what-049,fireplace,what
what-050,floor_of_bedroom_of_Julia,what
what-051,folding_bed,what
what-052,four_walls_of_bedroom_of_Julia,what
what-053,garden_of_Roylott,what
what-054,handgun,what
what-055,handkerchief_of_Roma,what
what-056,headache,what
what-057,hole,what
what-058,interesting_features,what
what-059,k001,what
what-060,lamp,what
what-061,leopard,what
what-062,light,what
what-063,limbs,what
what-064,low_celling,what
what-065,mansion_of_Roylott,what
what-066,marriage,what
what-067,match,what
what-068,match_box,what
what-069,metal,what
what-070,metallic_sound,what
what-071,milk,what
what-072,money,what
what-073,motivation_of_murder_of_sister,what
what-074,neck_of_Roylott,what
what-075,objects,what
what-076,poison,what
what-077,poison_of_snake,what
what-078,poisonous_snake,what
what-079,premium_wilton_carpet,what
what-080,price_of_asset_of_mother_of_Helen,what
what-081,private_documents,what
what-082,question_of_Roylott,what
what-083,reason,what
what-084,reason_of_whistle,what
what-085,rope_of_bell,what
what-086,safe,what
what-087,scar,what
what-088,scream,what
what-089,shutter,what
what-090,signal,what
what-091,sleepwear,what
what-092,slippers,what
what-093,small_dish,what
what-094,smell_of_Indian_cigarettes,what
what-095,snake,what
what-096,sound_of_snake,what
what-097,speckled_band,what
what-098,story_of_Helen,what
what-099,strange_points,what
what-100,suspect,what
what-101,table,what
what-102,the_most_terrible_snake_of_India,what
what-103,two-wheeled_coach,what
what-104,two_small_chairs,what
what-105,vanity,what
what-106,ventilator,what
what-107,voice_of_Julia,what
what-108,wedding_ceremony_of_Julia,what
what-109,whistle,what
what-110,white_overhard,what
what-111,will_of_mother_of_Helen,what
what-112,window,what
what-113,window_of_bedroom_of_Julia,what
what-114,window_of_mansion_of_Roylott,what
what-115,blank-field,what
